RGB,Name
"(0, 255, 0)",Ryuku
"(0, 40, 0)",Osumi
"(0, 80, 0)",Hyuga
"(0, 100, 0)",Higo
"(0, 140, 0)",Chikugo
"(0, 120, 0)",Hizen
"(0, 180, 0)",Bungo
"(0, 220, 0)",Buzen
"(0, 160, 0)",Tsushima
"(0, 240, 0)",Chikuzen
"(0, 210, 210)",Tosashimizu
"(0, 200, 200)",Tosa
"(0, 210, 200)",Koçchi
"(0, 160, 200)",Iyo
"(0, 120, 160)",Awa
"(0, 160, 160)",Sanuki
"(0, 120, 120)",Awaji
"(0, 165, 200)",Matsuyama
"(110, 0, 0)",Nagato
"(125, 0, 0)",Suoç
"(135, 0, 0)",Aki
"(145, 0, 0)",Iwami
"(95, 0, 0)",Bingo
"(75, 0, 0)",Bitchu
"(105, 0, 0)",Izumo
"(85, 0, 0)",Hoçki
"(55, 0, 0)",Mimasaka
"(45, 0, 0)",Bizen
"(30, 0, 0)",Tajima
"(220, 0, 0)",Harima
"(100, 0, 0)",Settsu
"(180, 0, 0)",Tango
"(40, 0, 0)",Wakasa
"(60, 0, 0)",Tamba
"(155, 0, 0)",Yamashiro
"(140, 0, 0)",Kawachi
"(160, 0, 0)",Izumi
"(80, 0, 0)",Kii
"(120, 0, 0)",Yamato
"(200, 0, 0)",Ise
"(240, 0, 0)",Shima
"(20, 0, 0)",Omi
"(25, 0, 0)",Echizen
"(90, 0, 0)",Kaga
"(115, 0, 0)",Noto
"(50, 0, 0)",Mino
"(35, 0, 0)",Owari
"(70, 0, 0)",Mikawa
"(240, 25, 0)",Tokoname
"(100, 0, 120)",Etchu
"(100, 0, 60)",Hida
"(120, 100)",Sado
"(100, 0, 80)",Echigo
"(100, 0, 40)",Shinano
"(160, 0, 100)",Toçtomi
"(200, 0, 100)",Suruga
"(100, 0, 5)",Kai
"(80, 0, 100)",Sagami
"(100, 0, 100)",Izu
"(40, 0, 100)",Awa
"(60, 0, 100)",Kazusa
"(20, 0, 100)",Shimoçsa
"(0, 0, 100)",Musashi
"(100, 0, 20)",Koçzuke
"(140, 0, 100)",Hitachi
"(180, 0, 100)",Shimotsuke
"(255, 0, 130)",Fukushima
"(100, 0, 100)",Sendai
"(126, 0, 140)",Yamagata
"(100, 0, 140)",Akita
"(0, 200, 200)",Hakodate
"(0, 150, 150)",Tokachi
"(0, 100, 100)",Soçya
"(0, 50, 50)",Kushiro
